Site,lat_long,Common_name,Site Description,Parking,parking_lat_long,Directions,Field Communication Method,Restroom or nearby,Out of Bounds Areas,Sonde Housing Notes,Camera Notes,Access notes,Area Contact/Permit,Relevant Gauge,Project
JOEI,"40.540819, -105.881445",Joe Wright Inflow,Above Joe Wright Reservoir,Montgomery Pass Parking,"40.539867, -105.882134",Walk N on unmarked trail from parking lot to stream.,SPOT Device,At parking,USGS guage house,"10ft Camo pipe, right bank after USGS guage before concrete structure",NA,"USFS Land, Use Vehicle card, try not to impact vegetation near site and be mindful of anglers/tourists",USFS Permit CAN905,USGS 6746095,Reservoir Study
CBRI,"40.577997, -105.857219",Chambers Inflow,Below Joe Wright Reservoir,Bridge Near Blue Lake Trailhead,"40.578293, -105.856712",Walk under bridge (right bank),SPOT Device,JOEI,,"Under bridge, right bank near downstream side, rocky section, 10 ft 4 in setup.",NA,"USFS Land, Use vehicle card,occasionally folks camping on other side of bridge ",USFS Permit CAN905,USGS 6746110,Reservoir Study
CHD,"40.6017611,-105.8420278",Chambers Outflow,Chambers Lake Outflow,Next to precip guage at outflow,"40.602179, -105.843347","Walk down access road from rain guage to stream, follow road until you see a small cairn on L side of road",SPOT Device,JOEI,"All areas other than road to access site, stream or reservoir site. Do not linger on site. ","Downstream of Chambers Outflow, 100ft downstream of roller, Cairn near sonde housing. 15 ft white pipe, in pool on right bank. Cable to telemetry tower should be visible and easy to follow",NA,"Private (water supply) land, Use vehicle card, wear fcgov vest if in personal car, be mindful of Water Supply employees and inform them you are with CSU/USFS and have permission from Eric Westlind, do not block access to CDWR Guage",Gate/private land access permission from Eric Westlind (ewestlind@wtrsupply.com),CWR site JWCCHACO,Reservoir Study
PFAL,"40.651595, -105.810709",Poudre Falls,Hwy 14 bridge downstream of Poudre Falls,"Downstream of Poudre Falls, on upstream side of bridge.","40.651717, -105.810894","Walk to upstream side of bridge, under bridge on rip rap",SPOT Device,Tunnel Picnic Area,,"In rip rap below bridge, 15 ft camo pipe, cable leading to depth guage on bridge",NA,"USFS Land, Use vehicle card, occasionally folks camping on at end of dirt road",USFS Permit CAN905,Larimer County site 11517,Reservoir Study
SFM,"40.618203, -105.525477",South Fork at Pingree,The South Fork of the CLP at Pingree Park road,Fish Creek Trailhead,"40.618385, -105.525925","Walk along road to bridge, small trail to access sonde by going around willows",SPOT Device,Bennett Creek or Tom Bennett Campgraound (near Beaver Creek),,"Camo pipe, 10 ft, anchored to rock and tposts, cable leading to depth gauge on bridge",NA,"USFS Land, Use vehicle card,wear high vis vest when working on or near bridge,  be aware that folks drive fast on this road. ",USFS Permit CAN905,Larimer County site 11531,Reservoir Study
PBD,"40.664519,-105.224190",Canyon Mouth,Downstream of the confluence of the North Fork and mainstem of the CLP,DWR site CLAFTCCO,"40.664519,-105.224190",Park directly at site. Samples can be taken downstream of guage (~5m),"SPOT Device, can sometimes get cell service but not reliable",Ted's Place gas station,All areas other than road to access site and site. Remain near guage house at all times. ,"Left bank, vertically mounted to concrete 2 ft upstream of guage housing, 4 in pipe, 10 ft long",NA,"Private land (Robert Graves and CDWR), key access to gate (CLOSE AND LOCK WHEN ONSITE) Do not access site on weekends, if driving personal vehicle use FCGOV vest and vehicle cards, do not affect guage readings","Gate/private land access(Robert Graves, Rob@morningfreshdairy.com),CDWR Access (Lee Cunning, lee.cunning@state.co.us)",DWR site CLAFTCCO,Reservoir Study
Bellvue,"40.627868, -105.164528",Tamasag,Upstream of City of Fort Collins on Tamasag property,On Tamasag Property at Conference Center,"40.628538, -105.164616",Park at parking lot by conference center. Walk SE to site thru lawn,Cell Coverage,Laporte Grocery Store,All areas other than road to access site and camera site.,"20ft 3 in to 4in pvc, left bank on right fork downstream of pedestrian bridge",On ped bridge facing upstream,"Private land (CSU Property), do not access on weekends and give Katie/Stuart advance notice before coming. If conference is ongoing, be nice to guests and park further back",CSU Tamasag Event Center Katie Shoemaker (7174756060) or Stuart Shoemaker (growerstu@gmail.com) ,na,PWQN
Salyer,"40.60054584, -105.08604",Legacy,Poudre at Legacy Bridge in Slayer Natural Area,McMurry/Slayer Trailhead,"40.601737, -105.086085",Follow trail south from parking lot to pedestrian bridge,Cell Coverage,Lee Martinez park,,15 ft 4 in pipe mounted on pedestrian bridge next to CFS sign,"Opposite side of bridge mounted to wooden post, locked","FC Natural area, wear FC GOV vest, heavily populated area, do not to block bridge","City of FC Natural Area Permit,Bernadette Kuhn or Kate Rentschlar ",na,PWQN
Udall,"40.588073,-105.069231",Lincoln St,Poudre at Lincoln St above Lincoln St Outflow,In Situ Shipping Parking (working hours only) Street parking otherwise,"40.588239, -105.068771","Walk west from parking, cross bike path near exit for Lincoln Ave",Cell Coverage,Buckingham  Park,USGS guage house,"Upstream of USGS gauge, downstream of bridge, left bank. 20ft high flow housing and 10 ft deployable low flow housing. ",NA,"FC Natural area, wear FC GOV vest, heavily populated area, do not block bike path, occasionally folks hanging out at site. ","City of FC Natural Area Permit,Bernadette Kuhn or Kate Rentschlar ",USGS site 06752260,PWQN
Riverbend,"40.575, -105.033",Timberline,Poudre at Timberline below Dry Creek,Riverbend Ponds Cairnes Trailhead,"40.577885, -105.033155",Walk west then south  from parking lot for ~500m . Walk down steep hill on right to beach,Cell Coverage,At parking,,"Left bank, near large tree and swimming area, 20 ft camo setup",Downstream on bridge faces across river (code: 718),"FC Natural area, wear FC GOV vest, heavily populated area, occasionally folks swimming near by at site. ","City of FC Natural Area Permit,Bernadette Kuhn or Kate Rentschlar ",na,PWQN
