season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
fall_baseflow,archery,Chl-a Fluorescence,0.031090519,3.694295897,-0.078041578,0.070256276,0.788742697
monsoon,archery,Chl-a Fluorescence,0.03537576,4.736769791,-0.057649905,0.053772375,0.889018793
snowmelt,archery,Chl-a Fluorescence,0.028141522,3.334089103,-0.052776173,0.04502964,0.543603217
winter_baseflow,archery,Chl-a Fluorescence,0.019868868,9.146133499,-0.422467903,0.413732928,1.445098567
fall_baseflow,archery,Depth,0.361555547,0.995981144,-4.07E-04,5.63E-04,0.154932345
monsoon,archery,Depth,0.349953415,1.268161615,-6.88E-04,0.001301247,0.216584028
snowmelt,archery,Depth,0.384896607,2.114426865,-0.002557545,0.002984958,0.508773896
winter_baseflow,archery,Depth,0.404240772,0.95099451,-4.56E-04,8.62E-04,0.099760419
fall_baseflow,archery,DO,5.564624429,11.89378034,-0.034575479,0.051933574,1.398341384
monsoon,archery,DO,5.04231617,11.45106606,-0.03010043,0.035434527,1.334848733
snowmelt,archery,DO,6.04016552,9.956341476,-0.013874374,0.017052048,0.736633756
winter_baseflow,archery,DO,6.0314151,12.41494614,-0.027564065,0.047560522,1.50764022
fall_baseflow,archery,ORP,0.261624503,0.449659259,-8.33E-04,5.64E-04,0.038553631
monsoon,archery,ORP,0.224582199,0.434863802,-0.001414469,8.81E-04,0.045840151
snowmelt,archery,ORP,-0.190688049,0.46452346,-0.001938437,0.001065626,0.119776428
winter_baseflow,archery,ORP,0.162454483,0.40067359,-0.001981958,0.001176176,0.072734764
fall_baseflow,archery,pH,7.80773375,8.586918421,-0.006475242,0.007333878,0.194017127
monsoon,archery,pH,7.688503361,9.1163414,-0.007196171,0.007373323,0.288495128
snowmelt,archery,pH,7.574885879,8.27640564,-0.003531467,0.00363106,0.142790906
winter_baseflow,archery,pH,7.80178771,8.98423152,-0.004830025,0.006298787,0.267328442
fall_baseflow,archery,Specific Conductivity,224.232547,1595.659998,-1.532352702,0.892229574,362.3513399
monsoon,archery,Specific Conductivity,211.1256738,1670.295234,-2.838925944,1.272224935,398.878903
snowmelt,archery,Specific Conductivity,85.1754007,1567.918472,-3.194468587,1.400793294,214.3229613
winter_baseflow,archery,Specific Conductivity,237.4735388,1743.614495,-2.358621257,1.451625,451.9465321
fall_baseflow,archery,Temperature,2.100376277,17.78864494,-0.009552301,0.019444913,3.635928264
monsoon,archery,Temperature,14.08703682,24.28000397,-0.012124872,0.022916438,2.111554538
snowmelt,archery,Temperature,8.292643013,19.85755241,-0.011006313,0.020076873,2.409350673
winter_baseflow,archery,Temperature,3.013684578,15.9190984,-0.011027725,0.024902393,3.173052926
fall_baseflow,bellvue,Depth,0.054511768,0.397947375,-8.79E-04,8.89E-04,0.104728176
monsoon,bellvue,Depth,0.055381893,0.48023008,-9.88E-04,0.001044342,0.100994286
snowmelt,bellvue,Depth,0.022915452,0.986668471,-0.001395243,0.001582682,0.198709397
winter_baseflow,bellvue,Depth,0.072525327,0.450656912,-0.001000694,0.001099277,0.087340583
fall_baseflow,bellvue,DO,6.997214632,12.65103251,-0.02578903,0.03009278,1.057968737
monsoon,bellvue,DO,6.953923941,9.214051723,-0.007121718,0.00661661,0.453767683
snowmelt,bellvue,DO,7.40724287,10.15371971,-0.033409057,0.034227961,0.544210362
winter_baseflow,bellvue,DO,7.672883282,12.67973076,-0.021369853,0.017412977,1.143259807
fall_baseflow,bellvue,ORP,0.235451237,0.466423218,-9.23E-04,8.46E-04,0.074883458
