#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Aug 2007 to Oct 2025
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
"#       SNOTEL 551: Joe Wright, CO"
# 
# Data items provided in this file:
#
# Element Name                Value Type          Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value               None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1991-2020)  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value               None           Instantaneous - Start of Month  N/A        Inches             N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Median (1991-2020)  None           Instantaneous - Start of Month  N/A        Inches             N/A           PREC          Water year accumulated precipitation                                                               
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
"#  E      Edit                Edit, minor adjustment for sensor noise"
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Joe Wright (551) Colorado  SNOTEL Site - 10140 ft
# Reporting Frequency: Monthly; Date Range: Aug 2007 to Oct 2025
#
"# As of: Oct 6, 2025, 11:49:23 AM GMT-08:00"
#
"Date,Snow Water Equivalent (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Median Precipitation Accumulation (1991-2020) (in) Start of Month Values"
"Aug 2007,0.0,0.0,30.0,38.00"
"Sep 2007,0.0,0.0,33.8,41.00"
"Oct 2007,0.0,0.0,0.0,0.00"
"Nov 2007,2.5,1.9,5.4,4.00"
"Dec 2007,5.7,5.6,7.4,7.60"
"Jan 2008,9.4,8.5,12.0,11.40"
"Feb 2008,14.7,11.7,17.8,15.20"
"Mar 2008,19.9,16.3,23.2,20.40"
"Apr 2008,23.5,19.6,27.5,25.20"
"May 2008,26.8,22.5,32.2,30.20"
"Jun 2008,20.0,13.3,38.0,34.60"
"Jul 2008,0.0,0.0,40.2,36.40"
"Aug 2008,0.0,0.0,41.5,38.00"
"Sep 2008,0.0,0.0,43.6,41.00"
"Oct 2008,0.0,0.0,0.0,0.00"
"Nov 2008,1.4,1.9,2.6,4.00"
"Dec 2008,7.6,5.6,9.0,7.60"
"Jan 2009,10.9,8.5,13.4,11.40"
"Feb 2009,16.1,11.7,19.7,15.20"
"Mar 2009,18.6,16.3,22.7,20.40"
"Apr 2009,23.6,19.6,27.4,25.20"
"May 2009,26.3,22.5,33.1,30.20"
"Jun 2009,12.4,13.3,36.2,34.60"
"Jul 2009,0.0,0.0,40.0,36.40"
"Aug 2009,0.0,0.0,42.9,38.00"
"Sep 2009,0.0,0.0,44.0,41.00"
"Oct 2009,0.0,0.0,0.0,0.00"
"Nov 2009,4.0,1.9,4.9,4.00"
"Dec 2009,5.6,5.6,6.7,7.60"
"Jan 2010,8.5,8.5,10.0,11.40"
"Feb 2010,11.0,11.7,12.8,15.20"
"Mar 2010,14.3,16.3,16.2,20.40"
"Apr 2010,17.5,19.6,19.5,25.20"
"May 2010,22.7,22.5,26.8,30.20"
"Jun 2010,16.9,13.3,31.5,34.60"
"Jul 2010,0.0,0.0,33.0,36.40"
"Aug 2010,0.0,0.0,35.5,38.00"
"Sep 2010,0.0,0.0,37.7,41.00"
"Oct 2010,0.0,0.0,0.0,0.00"
"Nov 2010,3.9,1.9,7.6,4.00"
"Dec 2010,9.5,5.6,14.0,7.60"
"Jan 2011,14.4,8.5,19.1,11.40"
"Feb 2011,18.5,11.7,23.9,15.20"
"Mar 2011,23.9,16.3,29.3,20.40"
"Apr 2011,33.3,19.6,35.1,25.20"
"May 2011,48.3,22.5,48.2,30.20"
"Jun 2011,51.0,13.3,53.6,34.60"
"Jul 2011,12.1,0.0,56.5,36.40"
"Aug 2011,0.0,0.0,60.3,38.00"
"Sep 2011,0.0,0.0,61.6,41.00"
"Oct 2011,0.0,0.0,0.0,0.00"
"Nov 2011,1.4,1.9,3.7,4.00"
"Dec 2011,6.0,5.6,8.3,7.60"
"Jan 2012,7.3,8.5,10.3,11.40"
"Feb 2012,9.4,11.7,13.4,15.20"
"Mar 2012,12.8,16.3,17.4,20.40"
